manuscript_line,section,status,source,text
3,front matter,STRUCTURAL_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"\documentclass[smallextended,natbib]{svjour3}"
13,front matter,STRUCTURAL_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,\setlength{\emergencystretch}{2em}
27,front matter,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\institute{Simhaa T. T. \at Department of Electrical and Electronics Engineering, Sri Sivasubramaniya Nadar College of Engineering, Chennai, Tamil Nadu, India\\ Corresponding author: \email{simhaa2310510@ssn.edu.in}\\ ORCID: 0009-0006-9041-1103 \and Sudheesh Kumar Kattumannil \at Applied Statistics Unit, Indian Statistical Institute, Chennai, Tamil Nadu, India\\ \email{skkattu@isichennai.res.in}}"
32,front matter,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt; results_raw/experiments/kp_out_of_sample.txt; results_raw/experiments/kp_vs_breslow.txt,"Event times recorded on a coarse grid create two related problems: temporal grouping removes information, and tied failures complicate prediction from a Cox model. We first derive an exact finite-grid identity for Fisher information lost when a continuous survival time is grouped. For an equally spaced refining grid, the loss is quadratic in the interval width. A corresponding expansion is obtained after profiling an interval-specific baseline. We then examine why held-out interval likelihoods from grouped proportional hazards fits can differ from predictions obtained after Cox regression. In 34 configurations from eight public cohorts, Cox coefficients estimated with Efron's tie approximation and combined with a Breslow baseline gave a positive grouped-minus-Cox advantage, expressed as a Cox-minus-grouped negative log-likelihood difference, in 29 configurations. Replacing only the baseline by the Kalbfleisch--Prentice profile estimator reduced the difference to zero or below in 31 configurations; none of the remaining positive differences was resolved by the corrected repeated-split standard error. In four independent SPARCS cohorts, 3 of 12 profile-baseline differences were resolved, but their magnitudes were 1.33\% or less of the corresponding Breslow differences. A controlled simulation further showed that event-tie concentration, rather than concentration of all exit times, orders the predictive discrepancy. The results separate information loss due to grouping from the baseline-estimation effect that dominates the usual Cox prediction comparison under heavy ties."
39,Introduction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"Event times are often observed on a grid. Hospital length of stay is typically recorded in whole days, whereas other survival outcomes may be measured more finely and subsequently grouped for analysis. Both situations produce repeated event times, but they do not have the same statistical interpretation. If a latent continuous failure time exists, the grid is a coarsening device. If time is intrinsically discrete, the categories are part of the observation scale itself \citep{tutz2016,nawata2009}."
41,Introduction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"For a continuous proportional hazards process, grouping over intervals gives an exact complementary-log-log model with the same covariate coefficient \citep{prentice1978}. This identity is sometimes obscured when tied data are analysed through a Cox partial likelihood. Cox regression estimates the regression coefficient without estimating the baseline hazard directly \citep{cox1972,andersen1993}. Prediction of interval probabilities, however, requires the baseline to be reconstructed after the coefficient has been fitted. The usual choices made at these two stages need not have the same statistical status. Efron's and Breslow's approximations concern tied risk sets in the partial likelihood \citep{breslow1974,efron1977}; the Breslow and Kalbfleisch--Prentice estimators concern the baseline survival used for prediction \citep{kalbfleisch1973,prentice2003,xia2018}."
43,Introduction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"Grouped likelihood and a standard Cox prediction pipeline can give different held-out interval likelihoods on coarse grids. That difference need not imply a different proportional-hazards link. Conditional on a fixed Cox coefficient, the Kalbfleisch--Prentice baseline is the profile maximum-likelihood baseline for the grouped complementary-log-log model. This gives a direct decomposition in which the coefficient, test observations and time grid are held fixed while only the baseline estimator changes. The algebra behind the profile estimator is classical \citep{kalbfleisch1973,allison1982}; here it is used to identify the source of the predictive discrepancy."
45,Introduction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"A separate question concerns information lost by grouping. Corrections of quadratic order in the grouping width are classical, beginning with Sheppard-type corrections \citep{sheppard1897}. For Cox regression, grouping effects were studied by \citet{mckeague1994,mckeague1996}, and \citet{felsenstein1998} considered asymptotic information loss under a different information criterion. We derive an exact finite-grid identity for a local proportional-hazards direction. The identity gives strict positivity of the loss and yields a quadratic small-bin expansion with an explicit survival-dependent coefficient. We also profile an interval-specific baseline and obtain the corresponding leading term."
47,Introduction,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"The paper has three aims. First, it separates the observation-scale question from the estimation question by distinguishing a refining grid from a fixed discrete grid. Second, it gives finite-grid and small-bin expressions for the information cost of grouping. Third, it decomposes the predictive difference between grouped joint maximum likelihood and Cox-based interval prediction into a coefficient component and a baseline-estimation component. The empirical analysis uses 20 repeated train--test splits with a corrected repeated-split standard error \citep{nadeau2003}. A controlled simulation is used to determine whether the relevant concentration statistic is the modal mass of all exits or the modal mass of failures. A secondary analysis of flexible covariate effects is reported in the Supplementary Material; it is not needed for the main argument."
55,Observation scheme,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"Let $T^\ast\in(0,\infty)$ denote a failure time, $C$ a censoring time, and $X\in\mathcal X\subset\mathbb R^d$ a vector of covariates. When a latent continuous failure time is meaningful, write"
